exchange,name,token,trading_symbol,lot_size,tick_size
NSE,KALYANIFRG,15156,KALYANIFRG-EQ,1,0.05
NSE,KAUSHALYA,15136,KAUSHALYA-EQ,1,0.05
NSE,KALYANI,19653,KALYANI-BE,1,0.01
NSE,KAVVERITEL,15248,KAVVERITEL-BE,1,0.01
NSE,KAYNES,12092,KAYNES-EQ,1,0.05
NSE,KESORAMIND,1859,KESORAMIND-EQ,1,0.01
NSE,KERNEX,13121,KERNEX-EQ,1,0.05
NSE,KELLTONTEC,13430,KELLTONTEC-EQ,1,0.01
NSE,KEL,18714,KEL-ST,1200,0.05
NSE,KEI,13310,KEI-EQ,1,0.05
NSE,KEEPLEARN,8880,KEEPLEARN-BE,1,0.01
NSE,KECL,18220,KECL-EQ,1,0.01
NSE,KEC,13260,KEC-EQ,1,0.05
NSE,KDL,16765,KDL-ST,100,0.05
NSE,KDDL,14908,KDDL-EQ,1,0.05
NSE,KCPSUGIND,8849,KCPSUGIND-BE,1,0.01
NSE,KCP,1841,KCP-EQ,1,0.05
NSE,KCK,10296,KCK-ST,2000,0.05
NSE,KCEIL,21173,KCEIL-SM,500,0.05
NSE,KBCGLOBAL,2354,KBCGLOBAL-EQ,1,0.01
NSE,KAYA,10282,KAYA-BE,1,0.05
NSE,KALANA,25443,KALANA-SM,2000,0.05
NSE,KALAMANDIR,18755,KALAMANDIR-EQ,1,0.01
NSE,KAKATCEM,1811,KAKATCEM-EQ,1,0.01
NSE,JSLL,9038,JSLL-SM,180,0.05
NSE,JSL,11236,JSL-EQ,1,0.05
NSE,JSFB,22663,JSFB-EQ,1,0.05
NSE,JPPOWER,11763,JPPOWER-EQ,1,0.01
NSE,JPOLYINVST,31507,JPOLYINVST-EQ,1,0.05
NSE,JOCIL,16927,JOCIL-EQ,1,0.01
NSE,JNKINDIA,23621,JNKINDIA-EQ,1,0.05
NSE,JMFINANCIL,13637,JMFINANCIL-EQ,1,0.01
NSE,JMA,7109,JMA-EQ,1,0.01
NSE,JLHL,18553,JLHL-EQ,1,0.05
NSE,JKTYRE,14435,JKTYRE-EQ,1,0.05
NSE,JKPAPER,11860,JKPAPER-EQ,1,0.05
NSE,JKLAKSHMI,13491,JKLAKSHMI-EQ,1,0.05
NSE,JKIL,15266,JKIL-EQ,1,0.05
NSE,JKCEMENT,13270,JKCEMENT-EQ,1,0.05
NSE,JSWENERGY,17869,JSWENERGY-EQ,1,0.05
NSE,JSWHL,11880,JSWHL-EQ,1,0.05
NSE,JSWINFRA,19020,JSWINFRA-EQ,1,0.05
NSE,JSWSTEEL,11723,JSWSTEEL-EQ,1,0.05
NSE,KAJARIACER,1808,KAJARIACER-EQ,1,0.05
NSE,KABRAEXTRU,1805,KABRAEXTRU-EQ,1,0.05
NSE,K2INFRA,23459,K2INFRA-SM,1200,0.05
NSE,JYOTISTRUC,1802,JYOTISTRUC-EQ,1,0.01
NSE,JYOTICNC,21334,JYOTICNC-EQ,1,0.05
